team,team_name,Unnamed: 0,Unnamed: 1,指数,ゴール率,シュート率,ドリブル 使用率,ロングパス 使用率,空中戦 使用率,コンビネーション 使用率,20km/h以上の走行 平均人数,20km/h以上の走行 一人当たりの平均距離,table_index,攻撃 セットプレー,左サイド攻撃,中央攻撃,右サイド攻撃,ショート カウンター,ロング カウンター,敵陣 ポゼッション,自陣 ポゼッション
hiro,サンフレッチェ広島広島,,サンフレッチェ広島広島,67.0,1.1%,15.5%,10.9%,18.9%,10.2%,3.4%,1.6人,19.3m,0,,,,,,,,
shim,清水エスパルス清水,,清水エスパルス清水,63.0,2.0%,12.9%,12.9%,23.8%,8.2%,2.3%,1.9人,19.0m,0,,,,,,,,
tk-v,東京ヴェルディ東京Ｖ,,東京ヴェルディ東京Ｖ,60.0,2.4%,20.2%,17.0%,17.8%,7.7%,2.8%,2.2人,19.8m,0,,,,,,,,
nago,名古屋グランパス名古屋,,名古屋グランパス名古屋,60.0,2.4%,16.2%,14.2%,24.7%,10.9%,4.0%,2.0人,20.8m,0,,,,,,,,
kyot,京都サンガF.C.京都,,京都サンガF.C.京都,60.0,1.6%,15.9%,11.8%,20.7%,10.6%,2.8%,2.1人,21.2m,0,,,,,,,,
okay,ファジアーノ岡山岡山,,ファジアーノ岡山岡山,56.0,1.3%,15.6%,19.8%,22.8%,11.0%,3.8%,2.0人,19.7m,0,,,,,,,,
kobe,ヴィッセル神戸神戸,,ヴィッセル神戸神戸,56.0,1.3%,15.2%,12.2%,16.5%,9.3%,3.8%,1.8人,19.2m,0,,,,,,,,
mito,水戸ホーリーホック水戸,,水戸ホーリーホック水戸,56.0,2.6%,20.9%,15.3%,15.7%,5.5%,2.6%,1.4人,18.8m,0,,,,,,,,
y-fm,横浜Ｆ・マリノス横浜FM,,横浜Ｆ・マリノス横浜FM,54.0,1.7%,19.5%,13.9%,20.3%,8.7%,1.7%,1.8人,19.1m,0,,,,,,,,
c-os,セレッソ大阪Ｃ大阪,,セレッソ大阪Ｃ大阪,52.0,1.3%,22.8%,12.9%,13.8%,6.7%,5.8%,1.9人,20.2m,0,,,,,,,,
g-os,ガンバ大阪Ｇ大阪,,ガンバ大阪Ｇ大阪,51.0,3.4%,18.6%,18.6%,23.6%,5.9%,3.0%,1.5人,20.3m,0,,,,,,,,
