Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,Year
浦和レッズ,8.0,15.0,11.0,13.0,12.0,13.0,12.0,10.0,9.0,10.0,8.0,9.0,8.0,8.0,6.0,8.0,7.0,9.0,6.0,5.0,5.0,8.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,2021
清水エスパルス,2.0,4.0,7.0,8.0,10.0,9.0,10.0,12.0,13.0,14.0,16.0,16.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,14.0,13.0,14.0,14.0,14.0,14.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,15.0,14.0,2021
湘南ベルマーレ,15.0,19.0,19.0,15.0,15.0,16.0,14.0,15.0,12.0,13.0,15.0,15.0,12.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,14.0,15.0,17.0,17.0,17.0,15.0,15.0,15.0,16.0,16.0,17.0,17.0,16.0,15.0,15.0,15.0,16.0,16.0,2021
鹿島アントラーズ,17.0,18.0,13.0,11.0,14.0,15.0,16.0,14.0,15.0,12.0,13.0,10.0,9.0,6.0,7.0,6.0,8.0,8.0,7.0,7.0,7.0,6.0,5.0,3.0,6.0,5.0,4.0,7.0,7.0,6.0,6.0,6.0,6.0,5.0,4.0,5.0,4.0,4.0,2021
FC東京,14.0,18.0,14.0,5.0,5.0,6.0,5.0,5.0,6.0,4.0,5.0,6.0,7.0,9.0,6.0,6.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,7.0,8.0,8.0,7.0,6.0,5.0,6.0,6.0,,,,,2022
アビスパ福岡,8.0,11.0,14.0,16.0,9.0,11.0,13.0,14.0,14.0,11.0,8.0,11.0,12.0,10.0,11.0,12.0,12.0,14.0,14.0,12.0,10.0,10.0,10.0,12.0,13.0,13.0,12.0,15.0,17.0,14.0,16.0,15.0,14.0,14.0,,,,,2022
ガンバ大阪,16.0,8.0,8.0,9.0,13.0,9.0,9.0,11.0,11.0,14.0,13.0,12.0,10.0,12.0,12.0,13.0,15.0,12.0,13.0,15.0,15.0,16.0,15.0,16.0,17.0,17.0,13.0,16.0,15.0,17.0,17.0,17.0,15.0,15.0,,,,,2022
サガン鳥栖,12.0,11.0,11.0,5.0,7.0,8.0,6.0,9.0,9.0,6.0,6.0,5.0,5.0,6.0,8.0,8.0,8.0,6.0,7.0,8.0,8.0,9.0,9.0,8.0,9.0,7.0,8.0,7.0,7.0,8.0,8.0,9.0,11.0,11.0,,,,,2022
サンフレッチェ広島,12.0,11.0,11.0,15.0,17.0,12.0,10.0,8.0,8.0,8.0,10.0,7.0,6.0,4.0,7.0,7.0,5.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,5.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,2022
ジュビロ磐田,8.0,15.0,5.0,7.0,12.0,15.0,14.0,15.0,15.0,12.0,15.0,16.0,14.0,15.0,14.0,15.0,14.0,15.0,16.0,16.0,18.0,18.0,16.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,,,,2022
セレッソ大阪,6.0,9.0,17.0,8.0,8.0,5.0,7.0,6.0,7.0,9.0,9.0,8.0,8.0,7.0,5.0,5.0,6.0,7.0,5.0,5.0,6.0,5.0,4.0,3.0,4.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,5.0,,,,,2022
チーム ╲ 節,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
ヴィッセル神戸,17.0,14.0,16.0,17.0,16.0,17.0,17.0,17.0,18.0,18.0,18.0,18.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,17.0,16.0,15.0,17.0,18.0,16.0,16.0,17.0,17.0,16.0,13.0,12.0,10.0,12.0,13.0,,,,,2022
京都サンガF.C.,4.0,4.0,10.0,10.0,14.0,10.0,11.0,7.0,5.0,7.0,7.0,10.0,9.0,11.0,13.0,9.0,9.0,13.0,9.0,10.0,12.0,11.0,11.0,13.0,14.0,14.0,15.0,13.0,13.0,16.0,13.0,14.0,16.0,16.0,,,,,2022
