Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,Year
アビスパ福岡,14.0,19.0,20.0,16.0,11.0,6.0,10.0,6.0,6.0,1.0,5.0,5.0,6.0,7.0,9.0,12.0,13.0,14.0,15.0,11.0,10.0,11.0,12.0,11.0,10.0,11.0,11.0,12.0,12.0,13.0,14.0,14.0,14.0,13.0,12.0,12.0,12.0,12.0,2025
アルビレックス新潟,9.0,16.0,18.0,18.0,19.0,19.0,20.0,20.0,20.0,19.0,19.0,19.0,17.0,18.0,18.0,19.0,19.0,19.0,19.0,18.0,18.0,19.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,2025
ガンバ大阪,19.0,12.0,13.0,10.0,6.0,7.0,11.0,12.0,14.0,11.0,12.0,14.0,14.0,10.0,6.0,6.0,9.0,11.0,12.0,12.0,11.0,12.0,10.0,10.0,11.0,12.0,12.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,2025
サンフレッチェ広島,4.0,2.0,4.0,3.0,3.0,3.0,7.0,4.0,2.0,6.0,10.0,10.0,12.0,8.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,2025
セレッソ大阪,2.0,7.0,10.0,12.0,12.0,18.0,17.0,13.0,15.0,13.0,14.0,15.0,15.0,15.0,12.0,7.0,11.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2025
チーム ╲ 節,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
ファジアーノ岡山,3.0,8.0,7.0,7.0,9.0,9.0,6.0,9.0,8.0,4.0,9.0,8.0,9.0,12.0,13.0,16.0,12.0,12.0,11.0,13.0,13.0,10.0,11.0,12.0,12.0,10.0,9.0,11.0,11.0,12.0,12.0,12.0,12.0,15.0,15.0,15.0,16.0,13.0,2025
ヴィッセル神戸,11.0,13.0,11.0,14.0,17.0,16.0,18.0,14.0,16.0,14.0,8.0,9.0,10.0,5.0,8.0,10.0,6.0,6.0,6.0,6.0,4.0,3.0,2.0,1.0,3.0,6.0,5.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,5.0,5.0,2025
京都サンガF.C.,18.0,16.0,17.0,11.0,13.0,11.0,8.0,7.0,7.0,2.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,6.0,4.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,2025
名古屋グランパス,20.0,18.0,19.0,20.0,20.0,20.0,19.0,17.0,19.0,20.0,17.0,18.0,19.0,17.0,17.0,17.0,18.0,16.0,14.0,15.0,14.0,13.0,13.0,15.0,16.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,17.0,17.0,16.0,2025
川崎フロンターレ,1.0,4.0,2.0,6.0,8.0,8.0,4.0,3.0,3.0,3.0,6.0,6.0,8.0,11.0,14.0,9.0,7.0,7.0,7.0,7.0,5.0,6.0,6.0,7.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,8.0,2025
東京ヴェルディ,14.0,20.0,14.0,17.0,16.0,14.0,12.0,15.0,13.0,16.0,16.0,13.0,13.0,14.0,11.0,14.0,15.0,13.0,13.0,14.0,15.0,15.0,14.0,16.0,14.0,14.0,14.0,14.0,16.0,16.0,16.0,16.0,16.0,12.0,14.0,14.0,15.0,17.0,2025
柏レイソル,5.0,5.0,4.0,1.0,4.0,4.0,3.0,5.0,5.0,5.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2025
横浜FC,14.0,10.0,9.0,13.0,15.0,13.0,14.0,18.0,11.0,15.0,15.0,17.0,18.0,19.0,19.0,18.0,17.0,18.0,17.0,19.0,19.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,2025
横浜F・マリノス,9.0,15.0,16.0,15.0,18.0,15.0,16.0,19.0,17.0,18.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,18.0,18.0,18.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,16.0,14.0,15.0,2025
浦和レッズ,11.0,14.0,15.0,19.0,13.0,17.0,13.0,11.0,12.0,10.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,5.0,3.0,4.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,7.0,2025
清水エスパルス,5.0,1.0,3.0,5.0,7.0,10.0,5.0,8.0,10.0,12.0,7.0,7.0,5.0,6.0,7.0,8.0,10.0,9.0,9.0,10.0,12.0,14.0,15.0,13.0,13.0,13.0,13.0,13.0,13.0,11.0,11.0,11.0,11.0,14.0,13.0,13.0,13.0,14.0,2025
湘南ベルマーレ,5.0,2.0,1.0,2.0,2.0,5.0,9.0,10.0,9.0,9.0,13.0,12.0,11.0,13.0,15.0,13.0,14.0,15.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,2025
鹿島アントラーズ,14.0,6.0,6.0,4.0,1.0,1.0,1.0,1.0,4.0,8.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2025
