year,team_name,player_name,pos,games,goals,assists,cbp_attack,cbp_attack_90,shoot_point,shoot_point_90,goal_point,goal_point_90
2022,北海道コンサドーレ札幌,興梠　慎三,FW,21,5,0,,,10.85,0.72,10.05,0.67
2022,北海道コンサドーレ札幌,宮澤　裕樹,MF,25,3,0,28.88,1.49,,,8.17,0.42
2022,北海道コンサドーレ札幌,駒井　善成,MF,31,3,0,42.98,1.51,17.31,0.61,8.32,0.29
2022,サガン鳥栖,藤田　直之,MF,26,2,0,,,11.32,1.05,8.75,0.81
2022,サガン鳥栖,堀米　勇輝,MF,26,3,2,25.74,1.76,12.42,0.85,9.54,0.65
2022,サガン鳥栖,小野　裕二,MF,26,2,4,21.16,1.87,6.81,0.60,,
2022,サガン鳥栖,ファン　ソッコ,DF,25,4,1,31.62,1.36,,,9.64,0.42
2022,サガン鳥栖,福田　晃斗,MF,33,2,7,53.82,1.82,,,7.19,0.24
2022,サガン鳥栖,小泉　慶,MF,30,1,1,42.09,1.45,,,,
2022,サガン鳥栖,朴　一圭,GK,34,0,0,21.15,0.62,,,,
2022,サガン鳥栖,長沼　洋一,MF,13,1,0,,,9.81,0.81,,
2022,サガン鳥栖,岩崎　悠人,FW,32,2,1,39.65,1.48,18.02,0.67,8.32,0.31
2022,サガン鳥栖,垣田　裕暉,FW,28,6,0,,,21.10,1.68,14.46,1.15
2022,サガン鳥栖,田代　雅也,DF,21,3,0,,,,,6.52,0.34
2022,サガン鳥栖,宮代　大聖,FW,22,8,0,,,21.09,1.21,21.35,1.22
2022,サガン鳥栖,ジエゴ,DF,32,2,4,40.06,1.32,9.75,0.32,6.19,0.20
2022,サガン鳥栖,飯野　七聖,MF,16,1,0,,,10.54,0.70,,
2022,サガン鳥栖,本田　風智,MF,24,5,0,,,13.84,0.96,15.43,1.07
2022,サガン鳥栖,原田　亘,DF,27,0,1,35.77,1.61,,,,
2022,サガン鳥栖,菊地　泰智,MF,27,0,0,23.03,1.68,,,,
2022,徳島ヴォルティス,内田　航平,MF,38,4,0,59.34,1.66,,,9.23,0.26
2022,徳島ヴォルティス,杉森　考起,MF,35,5,3,40.41,1.75,34.91,1.51,15.45,0.67
2022,徳島ヴォルティス,白井　永地,MF,42,3,3,61.56,1.54,20.56,0.51,10.41,0.26
2022,徳島ヴォルティス,エウシーニョ,DF,22,2,0,,,10.03,0.71,5.79,0.41
2022,徳島ヴォルティス,一美　和成,FW,25,7,0,,,24.04,1.59,12.48,0.83
2022,徳島ヴォルティス,西谷　和希,MF,37,4,2,49.73,1.79,27.62,0.99,12.93,0.47
2022,徳島ヴォルティス,浜下　瑛,MF,29,2,3,28.44,1.41,16.51,0.82,6.13,0.30
2022,徳島ヴォルティス,渡井　理己,MF,19,1,1,31.02,2.14,14.01,0.97,,
2022,徳島ヴォルティス,藤尾　翔太,FW,30,10,0,,,37.72,1.78,25.64,1.21
2022,徳島ヴォルティス,児玉　駿斗,MF,37,0,9,49.47,1.74,,,,
2022,徳島ヴォルティス,新井　直人,DF,38,2,0,70.02,2.06,22.71,0.67,7.99,0.24
2022,徳島ヴォルティス,安部　崇士,DF,39,0,1,49.94,1.74,,,,
2022,徳島ヴォルティス,カカ,DF,33,2,1,29.10,1.09,,,,
2022,徳島ヴォルティス,ムシャガ　バケンガ,FW,22,4,0,,,10.44,0.94,8.59,0.78
2022,大分トリニータ,町田　也真人,MF,19,0,3,27.63,2.25,,,,
2022,大分トリニータ,中川　寛斗,MF,20,4,0,,,,,11.17,1.04
2022,大分トリニータ,三竿　雄斗,DF,42,0,3,90.10,2.18,,,,
2022,大分トリニータ,下田　北斗,MF,35,3,5,65.14,2.20,17.13,0.58,12.40,0.42
2022,大分トリニータ,野村　直輝,MF,23,3,1,24.07,1.94,17.45,1.41,10.60,0.85
2022,大分トリニータ,小林　成豪,MF,12,3,0,,,,,10.98,1.45
2022,大分トリニータ,渡邉　新太,FW,25,4,1,30.71,1.66,20.53,1.11,10.59,0.57
2022,大分トリニータ,呉屋　大翔,FW,35,7,0,,,40.57,1.89,21.07,0.98
2022,大分トリニータ,上夷　克典,DF,21,0,1,24.73,1.43,,,,
2022,大分トリニータ,弓場　将輝,MF,25,3,1,29.60,1.44,10.60,0.52,11.88,0.58
2022,大分トリニータ,井上　健太,MF,34,1,5,59.59,2.41,11.20,0.45,,
2022,大分トリニータ,藤本　一輝,FW,23,4,5,30.47,2.10,,,12.60,0.87
2022,大分トリニータ,ペレイラ,MF,36,5,0,38.46,1.12,,,,
2022,大分トリニータ,サムエル,FW,22,6,0,,,23.54,2.13,21.60,1.95
2022,大分トリニータ,梅崎　司,MF,24,3,0,,,10.63,1.06,,
2022,大分トリニータ,金崎　夢生,FW,12,1,0,,,11.77,2.35,,
2022,大分トリニータ,長沢　駿,FW,23,8,0,,,20.99,1.46,20.10,1.40
2022,ベガルタ仙台,内田　裕斗,DF,34,1,4,49.25,1.86,,,,
2022,ベガルタ仙台,皆川　佑介,FW,33,5,0,,,22.69,1.55,9.70,0.66
2022,ベガルタ仙台,中山　仁斗,FW,27,14,2,30.35,1.28,32.38,1.37,26.60,1.13
2022,ベガルタ仙台,加藤　千尋,MF,27,0,0,,,18.20,1.25,,
2022,ベガルタ仙台,富樫　敬真,FW,37,11,0,,,34.11,1.46,25.07,1.07
2022,ベガルタ仙台,名倉　巧,MF,31,4,2,36.81,2.07,19.45,1.09,15.48,0.87
2022,ベガルタ仙台,中島　元彦,FW,33,4,7,52.61,1.80,38.23,1.31,15.11,0.52
2022,ベガルタ仙台,真瀬　拓海,DF,39,4,4,45.36,1.48,,,15.53,0.51
2022,ベガルタ仙台,キム　テヒョン,DF,30,1,1,36.19,1.33,,,,
2022,ベガルタ仙台,氣田　亮真,MF,33,6,4,56.86,2.05,31.23,1.13,21.13,0.76
2022,ベガルタ仙台,フォギーニョ,MF,35,5,0,39.77,1.45,26.48,0.97,12.19,0.45
2022,ベガルタ仙台,フェリペ　カルドーゾ,FW,20,3,0,,,16.99,2.33,9.41,1.29
2022,ベガルタ仙台,平岡　康裕,DF,30,1,0,27.89,0.98,,,,
2022,ベガルタ仙台,遠藤　康,MF,32,5,3,49.58,2.31,28.90,1.34,16.22,0.75
2023,鹿島アントラーズ,仲間　隼斗,MF,27,1,0,,,10.00,0.66,,
2023,鹿島アントラーズ,土居　聖真,MF,24,2,0,,,11.59,1.33,6.64,0.76
2023,鹿島アントラーズ,植田　直通,DF,34,2,0,29.28,0.86,,,5.29,0.16
2023,鹿島アントラーズ,安西　幸輝,DF,31,0,5,40.04,1.36,,,,
2023,鹿島アントラーズ,広瀬　陸斗,DF,27,0,1,22.63,1.35,,,,
2023,鹿島アントラーズ,鈴木　優磨,FW,33,14,5,35.46,1.13,47.70,1.52,34.68,1.10
2023,鹿島アントラーズ,垣田　裕暉,FW,29,4,0,,,11.70,0.75,8.94,0.57
2023,鹿島アントラーズ,知念　慶,FW,21,5,0,,,18.67,1.51,10.86,0.88
2023,鹿島アントラーズ,関川　郁万,DF,30,2,0,21.11,0.76,,,3.88,0.14
2023,鹿島アントラーズ,佐野　海舟,MF,27,1,0,27.45,1.15,11.53,0.48,,
2023,鹿島アントラーズ,樋口　雄太,MF,33,3,12,32.04,1.11,24.56,0.85,12.35,0.43
2023,鹿島アントラーズ,松村　優太,MF,20,2,0,,,8.25,0.98,6.69,0.79
2023,鹿島アントラーズ,藤井　智也,MF,22,1,1,18.16,1.76,8.97,0.87,,
2023,鹿島アントラーズ,早川　友基,GK,34,0,0,17.30,0.51,,,,
2023,鹿島アントラーズ,アルトゥール　カイキ,MF,13,2,0,,,,,3.49,1.15
2023,鹿島アントラーズ,ディエゴ　ピトゥカ,MF,31,3,1,37.53,1.27,21.38,0.73,9.06,0.31
2023,浦和レッズ,岩尾　憲,MF,33,1,1,45.75,1.53,,,,
2023,浦和レッズ,関根　貴大,MF,32,3,3,35.23,1.63,25.68,1.19,11.67,0.54
2023,浦和レッズ,アレクサンダー　ショルツ,DF,34,7,1,45.32,1.33,,,4.77,0.14
2023,浦和レッズ,荻原　拓也,DF,28,1,1,25.48,1.52,13.13,0.78,5.33,0.32
2023,浦和レッズ,大久保　智明,MF,30,1,2,46.56,1.82,16.05,0.63,,
2023,浦和レッズ,明本　考浩,MF,25,2,1,25.82,1.17,11.15,0.50,5.27,0.24
2023,浦和レッズ,伊藤　敦樹,MF,33,2,5,41.10,1.36,19.29,0.64,6.01,0.20
2023,浦和レッズ,安居　海渡,MF,31,2,1,21.66,0.99,19.37,0.89,6.19,0.28
2023,浦和レッズ,ブライアン　リンセン,FW,19,2,0,,,8.89,1.65,6.53,1.21
2023,浦和レッズ,マリウス　ホイブラーテン,DF,33,1,1,37.31,1.13,,,,
2023,浦和レッズ,ホセ　カンテ,FW,24,8,0,,,32.81,2.29,28.35,1.98
2023,浦和レッズ,興梠　慎三,FW,29,4,0,,,15.41,0.97,7.43,0.47
2023,浦和レッズ,酒井　宏樹,DF,25,2,0,25.26,1.09,10.10,0.44,7.20,0.31
2023,柏レイソル,小屋松　知哉,MF,33,1,1,27.23,1.50,,,4.32,0.24
2023,柏レイソル,片山　瑛一,DF,26,1,2,25.76,1.11,7.87,0.34,4.04,0.17
2023,柏レイソル,椎橋　慧也,MF,32,0,0,28.54,1.13,8.49,0.34,,
2023,柏レイソル,三丸　拡,DF,29,0,1,19.92,1.07,,,,
2023,柏レイソル,古賀　太陽,DF,33,0,1,31.54,0.96,,,,
2023,柏レイソル,山田　康太,MF,27,0,0,,,6.18,0.38,,
2023,柏レイソル,ジエゴ,DF,14,1,0,,,9.15,0.75,2.62,0.22
2023,柏レイソル,仙頭　啓矢,MF,26,0,0,19.31,1.60,,,,
2023,柏レイソル,戸嶋　祥郎,MF,28,3,0,23.73,1.33,11.56,0.65,8.16,0.46
2023,柏レイソル,山田　雄士,MF,10,2,0,,,,,8.37,1.09
2023,柏レイソル,細谷　真大,FW,34,14,0,23.39,0.76,42.64,1.38,39.71,1.28
2023,柏レイソル,高嶺　朋樹,MF,31,0,1,26.99,1.09,18.87,0.76,,
2023,柏レイソル,マテウス　サヴィオ,MF,31,7,10,51.15,1.80,43.31,1.52,15.51,0.55
2023,柏レイソル,フロート,FW,17,1,0,,,10.26,1.26,2.64,0.32
2023,柏レイソル,武藤　雄樹,FW,19,1,0,,,10.72,2.53,2.44,0.58
2023,東京ヴェルディ,梶川　諒太,MF,8,2,0,,,,,8.05,1.98
2023,東京ヴェルディ,平　智広,DF,31,1,2,32.33,1.25,,,,
2023,東京ヴェルディ,阪野　豊史,FW,20,3,0,,,,,9.25,1.20
2023,東京ヴェルディ,宮原　和也,DF,41,0,3,82.54,2.06,,,,
2023,東京ヴェルディ,齋藤　功佑,MF,32,4,6,43.12,1.84,25.32,1.08,9.76,0.42
2023,東京ヴェルディ,北島　祐二,MF,28,3,0,,,15.20,1.16,,
2023,東京ヴェルディ,森田　晃樹,MF,40,1,3,67.03,1.78,12.22,0.33,,
2023,東京ヴェルディ,中原　輝,MF,16,5,4,29.76,2.03,17.42,1.19,21.49,1.47
2023,東京ヴェルディ,染野　唯月,FW,18,6,0,,,29.00,1.63,15.82,0.89
2023,東京ヴェルディ,深澤　大輝,DF,27,4,1,34.28,1.45,12.63,0.54,8.70,0.37
2023,東京ヴェルディ,林　尚輝,DF,23,3,0,,,12.34,0.62,8.46,0.43
2023,東京ヴェルディ,谷口　栄斗,DF,20,1,0,29.52,1.59,,,,
2023,東京ヴェルディ,稲見　哲行,MF,28,4,0,30.53,1.19,,,17.52,0.68
2023,東京ヴェルディ,河村　慶人,FW,31,2,0,,,12.80,0.72,,
2023,東京ヴェルディ,加藤　蓮,DF,39,2,1,32.24,1.51,,,,
2023,東京ヴェルディ,バスケス　バイロン,MF,22,2,2,39.59,2.37,24.31,1.45,,
2023,東京ヴェルディ,新井　悠太,MF,8,2,0,,,,,8.96,3.21
2023,東京ヴェルディ,山田　剛綺,FW,30,3,0,,,15.80,1.20,9.84,0.75
2023,川崎フロンターレ,レアンドロ　ダミアン,FW,12,3,0,,,9.04,1.61,5.91,1.05
2023,川崎フロンターレ,山根　視来,DF,33,2,2,62.02,1.89,,,,
2023,川崎フロンターレ,瀬川　祐輔,MF,27,6,0,,,13.29,1.16,15.13,1.32
2023,川崎フロンターレ,大南　拓磨,DF,29,0,1,28.35,1.37,,,,
2023,川崎フロンターレ,宮代　大聖,FW,30,8,1,28.51,1.41,22.54,1.11,20.31,1.00
2023,川崎フロンターレ,脇坂　泰斗,MF,30,9,6,58.17,2.13,28.83,1.06,19.14,0.70
2023,川崎フロンターレ,ジョアン　シミッチ,MF,30,1,1,41.93,2.12,,,,
2023,川崎フロンターレ,遠野　大弥,FW,30,1,0,27.41,2.20,19.97,1.60,,
2023,川崎フロンターレ,瀬古　樹,MF,28,1,1,38.26,2.35,22.32,1.37,4.43,0.27
2023,川崎フロンターレ,橘田　健人,MF,30,2,1,35.59,1.70,13.08,0.62,5.82,0.28
2023,川崎フロンターレ,マルシーニョ,FW,20,1,0,,,13.20,1.10,,
2023,川崎フロンターレ,山田　新,FW,27,4,0,,,,,6.22,0.56
2023,川崎フロンターレ,家長　昭博,MF,33,2,4,78.01,2.85,22.22,0.81,5.80,0.21
2023,川崎フロンターレ,小林　悠,FW,16,4,0,,,15.39,2.67,11.01,1.91
2023,川崎フロンターレ,登里　享平,DF,26,2,2,35.98,1.60,,,8.56,0.38
2023,清水エスパルス,白崎　凌兵,MF,35,3,2,62.74,2.00,20.18,0.64,10.37,0.33
2023,清水エスパルス,北川　航也,FW,33,4,0,,,28.32,1.81,11.43,0.73
2023,清水エスパルス,鈴木　義宜,DF,40,2,3,45.94,1.17,,,,
2023,清水エスパルス,北爪　健吾,DF,32,4,3,58.41,2.78,21.39,1.02,14.79,0.70
2023,清水エスパルス,神谷　優太,MF,22,3,0,,,,,10.94,1.19
2023,清水エスパルス,岸本　武流,MF,32,3,3,44.88,2.60,,,9.65,0.56
2023,清水エスパルス,中山　克広,MF,38,8,3,46.78,2.02,29.10,1.25,26.01,1.12
2023,清水エスパルス,ディサロ　燦シルヴァーノ,FW,17,3,0,,,14.88,1.74,8.94,1.05
2023,清水エスパルス,カルリーニョス　ジュニオ,FW,36,15,3,50.80,1.88,70.67,2.62,38.69,1.43
2023,清水エスパルス,チアゴ　サンタナ,FW,38,12,0,,,56.13,2.03,35.10,1.27
2023,清水エスパルス,山原　怜音,DF,19,1,4,39.37,2.57,14.33,0.94,,
2023,清水エスパルス,ホナウド,MF,39,0,1,59.67,1.78,29.26,0.87,,
2023,清水エスパルス,乾　貴士,MF,32,10,10,70.39,2.92,42.42,1.76,36.56,1.51
2023,清水エスパルス,吉田　豊,DF,32,0,1,44.51,2.13,,,,
2023,京都サンガF.C.,木下　康介,FW,25,3,1,17.47,1.04,22.73,1.35,6.89,0.41
2023,京都サンガF.C.,豊川　雄太,FW,27,10,1,15.40,0.81,31.91,1.68,29.05,1.53
2023,京都サンガF.C.,パトリック,FW,32,10,0,,,18.69,1.39,22.63,1.69
2023,京都サンガF.C.,山﨑　凌吾,FW,22,2,0,15.95,1.15,6.97,0.50,3.80,0.27
2023,京都サンガF.C.,白井　康介,DF,17,0,1,32.35,2.01,,,,
2023,京都サンガF.C.,井上　黎生人,DF,28,0,1,20.87,0.82,,,,
2023,京都サンガF.C.,金子　大毅,MF,26,0,1,20.55,1.03,,,,
2023,京都サンガF.C.,麻田　将吾,DF,34,1,1,23.73,0.72,,,3.18,0.10
2023,京都サンガF.C.,原　大智,FW,13,7,0,,,17.28,1.63,19.04,1.79
2023,京都サンガF.C.,松田　天馬,MF,24,0,0,,,7.27,0.45,,
2023,京都サンガF.C.,福田　心之助,DF,21,3,1,25.23,1.38,16.50,0.90,13.48,0.74
2023,京都サンガF.C.,川﨑　颯太,MF,28,2,1,30.67,1.14,14.22,0.53,5.76,0.21
2023,京都サンガF.C.,山田　楓喜,MF,17,1,0,,,8.11,0.99,3.13,0.38
2023,京都サンガF.C.,佐藤　響,MF,26,0,1,23.30,1.27,10.25,0.56,,
2023,セレッソ大阪,山中　亮輔,DF,21,0,4,20.05,1.32,9.28,0.61,,
2023,セレッソ大阪,為田　大貴,MF,18,2,0,,,,,4.16,0.33
2023,セレッソ大阪,加藤　陸次樹,FW,17,3,0,,,,,10.75,1.27
2023,セレッソ大阪,進藤　亮佑,DF,28,1,0,,,14.49,0.72,,
2023,セレッソ大阪,上門　知樹,MF,28,4,0,,,12.76,0.96,12.40,0.93
2023,セレッソ大阪,レオ　セアラ,FW,33,12,3,28.14,0.96,47.59,1.62,23.45,0.80
2023,セレッソ大阪,舩木　翔,DF,23,0,1,27.84,1.49,,,,
2023,セレッソ大阪,喜田　陽,MF,16,1,1,21.63,1.71,10.76,0.85,4.04,0.32
2023,セレッソ大阪,鳥海　晃司,DF,30,0,1,25.01,0.84,,,,
2023,セレッソ大阪,毎熊　晟矢,DF,31,1,2,48.28,1.59,21.78,0.72,3.05,0.10
2023,セレッソ大阪,北野　颯太,FW,12,2,0,,,,,9.82,3.17
2023,セレッソ大阪,ジョルディ　クルークス,MF,27,2,2,30.08,1.52,28.19,1.42,6.91,0.35
2023,セレッソ大阪,カピシャーバ,FW,27,1,4,37.66,1.96,16.59,0.86,,
2023,セレッソ大阪,香川　真司,MF,34,2,0,52.89,1.70,12.17,0.39,5.70,0.18
2023,セレッソ大阪,奥埜　博亮,MF,24,3,2,20.71,0.99,8.21,0.39,9.58,0.46
2023,ファジアーノ岡山,河野　諒祐,DF,31,0,5,34.27,1.38,,,,
2023,ファジアーノ岡山,チアゴ　アウベス,FW,27,6,0,,,28.44,1.62,20.66,1.17
2023,ファジアーノ岡山,田中　雄大,MF,33,4,1,27.10,1.08,,,11.12,0.44
2023,ファジアーノ岡山,鈴木　喜丈,MF,36,3,1,47.38,1.38,,,7.67,0.22
2023,ファジアーノ岡山,仙波　大志,MF,38,2,2,35.41,1.42,25.09,1.01,6.58,0.26
2023,ファジアーノ岡山,柳　育崇,DF,39,4,3,34.97,0.90,30.77,0.79,10.86,0.28
2023,ファジアーノ岡山,輪笠　祐士,MF,29,0,3,34.50,1.38,,,,
2023,ファジアーノ岡山,ヨルディ　バイス,DF,38,4,1,39.91,1.28,18.17,0.58,5.09,0.16
2023,ファジアーノ岡山,高木　友也,DF,34,1,0,28.56,1.76,,,,
2023,ファジアーノ岡山,ルカオ,FW,28,1,0,,,19.95,1.89,,
2023,ファジアーノ岡山,櫻川　ソロモン,FW,29,4,0,,,30.65,1.42,8.22,0.38
2023,ファジアーノ岡山,坂本　一彩,FW,24,4,0,,,25.29,1.72,14.87,1.01
2023,ファジアーノ岡山,田部井　涼,MF,36,2,1,26.33,1.23,17.11,0.80,6.84,0.32
2023,ファジアーノ岡山,佐野　航大,MF,20,2,4,30.11,1.57,20.44,1.06,,
2023,ファジアーノ岡山,ステファン　ムーク,MF,37,6,0,,,18.67,0.99,13.09,0.70
2023,アビスパ福岡,奈良　竜樹,DF,31,0,0,22.58,0.73,,,,
2023,アビスパ福岡,金森　健志,MF,28,3,3,26.54,1.37,10.85,0.56,9.00,0.46
2023,アビスパ福岡,井手口　陽介,MF,21,0,0,23.59,1.31,10.20,0.57,,
2023,アビスパ福岡,ウェリントン,FW,27,3,0,,,10.68,1.53,6.32,0.90
2023,アビスパ福岡,前　寛之,MF,34,1,2,43.18,1.31,7.74,0.23,,
2023,アビスパ福岡,湯澤　聖人,DF,26,1,0,23.23,1.21,,,3.85,0.20
2023,アビスパ福岡,ルキアン,FW,27,5,3,28.11,1.27,19.00,0.86,9.38,0.42
2023,アビスパ福岡,山岸　祐也,FW,34,10,4,39.07,1.22,35.69,1.11,26.01,0.81
2023,アビスパ福岡,小田　逸稀,DF,30,2,0,29.10,1.35,10.08,0.47,5.48,0.25
2023,アビスパ福岡,前嶋　洋太,DF,32,0,2,32.95,1.39,,,,
2023,アビスパ福岡,紺野　和也,MF,29,5,4,46.59,2.02,34.08,1.48,14.08,0.61
2023,アビスパ福岡,ドウグラス　グローリ,DF,29,2,0,,,,,4.19,0.16
2023,アビスパ福岡,佐藤　凌我,FW,24,4,0,,,12.58,1.10,9.27,0.81
2023,アビスパ福岡,鶴野　怜樹,FW,17,1,0,,,5.00,1.53,2.62,0.80
2023,水戸ホーリーホック,村田　航一,FW,22,1,0,19.36,1.06,,,,
2023,水戸ホーリーホック,タビナス　ジェファーソン,DF,19,0,0,18.53,1.34,,,,
2023,水戸ホーリーホック,安藤　瑞季,FW,34,9,6,21.62,1.11,31.68,1.62,25.72,1.32
2023,水戸ホーリーホック,楠本　卓海,DF,27,2,0,22.42,0.94,,,5.27,0.22
2023,水戸ホーリーホック,草野　侑己,FW,27,4,0,,,22.96,1.28,6.73,0.38
2023,水戸ホーリーホック,鵜木　郁哉,MF,27,5,3,30.59,1.68,25.57,1.40,22.30,1.22
2023,水戸ホーリーホック,武田　英寿,MF,38,2,9,46.91,1.42,15.44,0.47,6.82,0.21
2023,水戸ホーリーホック,前田　椋介,MF,38,0,0,49.78,1.47,9.29,0.27,,
2023,水戸ホーリーホック,梅田　魁人,FW,23,3,0,,,13.24,1.01,11.33,0.87
2023,水戸ホーリーホック,長井　一真,DF,21,1,0,,,,,4.20,0.36
2023,水戸ホーリーホック,ブワニカ　啓太,FW,9,1,0,,,10.00,1.94,,
2023,水戸ホーリーホック,大崎　航詩,DF,18,1,1,22.16,1.36,,,,
2023,水戸ホーリーホック,杉浦　文哉,MF,26,1,4,23.09,1.38,,,,
2023,水戸ホーリーホック,小原　基樹,MF,40,6,4,56.13,1.59,40.17,1.14,19.64,0.56
2023,水戸ホーリーホック,寺沼　星文,FW,38,7,0,,,24.66,1.42,18.05,1.04
2023,水戸ホーリーホック,松田　佳大,DF,22,2,0,,,8.35,0.39,6.08,0.28
2023,ジェフユナイテッド千葉,風間　宏矢,MF,38,4,2,50.56,2.26,23.89,1.07,17.00,0.76
2023,ジェフユナイテッド千葉,小林　祐介,MF,32,0,0,35.02,1.39,,,,
2023,ジェフユナイテッド千葉,新井　一耀,DF,29,0,2,28.92,1.22,,,,
2023,ジェフユナイテッド千葉,ドゥドゥ,FW,16,7,0,,,23.34,2.13,25.91,2.37
2023,ジェフユナイテッド千葉,呉屋　大翔,FW,35,5,0,,,18.31,1.22,9.25,0.62
2023,ジェフユナイテッド千葉,髙橋　壱晟,MF,30,0,1,41.21,1.64,17.07,0.68,,
2023,ジェフユナイテッド千葉,椿　直起,MF,24,2,0,,,,,7.08,0.55
2023,ジェフユナイテッド千葉,田中　和樹,FW,38,2,4,47.84,1.88,31.97,1.25,,
2023,ジェフユナイテッド千葉,見木　友哉,MF,41,7,3,83.79,2.05,42.14,1.03,22.27,0.54
2023,ジェフユナイテッド千葉,日高　大,MF,37,4,3,63.43,1.76,24.94,0.69,13.41,0.37
2023,ジェフユナイテッド千葉,小森　飛絢,FW,33,13,3,30.95,1.21,48.75,1.90,36.23,1.41
2023,ジェフユナイテッド千葉,米倉　恒貴,DF,24,5,0,,,,,13.10,1.64
2023,ジェフユナイテッド千葉,鈴木　大輔,DF,40,4,2,43.25,1.08,16.04,0.40,9.66,0.24
2023,ジェフユナイテッド千葉,田口　泰士,MF,32,1,6,57.30,1.90,28.48,0.94,5.48,0.18
2023,ＦＣ東京,小泉　慶,MF,33,1,0,26.39,0.87,,,,
2023,ＦＣ東京,仲川　輝人,FW,27,4,3,24.56,1.16,15.11,0.71,10.32,0.49
2023,ＦＣ東京,渡邊　凌磨,MF,29,4,3,35.93,1.44,27.85,1.12,13.02,0.52
2023,ＦＣ東京,アダイウトン,MF,29,3,6,26.79,1.80,23.99,1.61,9.87,0.66
2023,ＦＣ東京,塚川　孝輝,MF,21,1,0,,,,,2.89,0.32
2023,ＦＣ東京,ディエゴ　オリヴェイラ,FW,33,15,1,38.12,1.33,40.65,1.42,39.52,1.38
2023,ＦＣ東京,徳元　悠平,DF,18,1,0,,,,,5.33,0.46
2023,ＦＣ東京,安部　柊斗,MF,16,2,3,19.47,1.42,6.79,0.50,4.13,0.30
2023,ＦＣ東京,エンリケ　トレヴィザン,DF,22,1,0,,,7.25,0.37,,
2023,ＦＣ東京,松木　玖生,MF,22,1,3,26.49,1.32,15.45,0.77,2.95,0.15
2023,ＦＣ東京,俵積田　晃太,MF,27,2,2,21.58,1.81,18.82,1.58,6.15,0.52
2023,ＦＣ東京,ジャジャ　シルバ,MF,8,0,0,,,6.97,4.21,,
2023,ＦＣ東京,森重　真人,DF,29,0,0,28.14,1.06,5.32,0.20,,
2023,ＦＣ東京,長友　佑都,DF,29,0,2,27.33,1.18,,,,
2023,ＦＣ東京,東　慶悟,MF,30,1,0,,,,,3.35,0.19
2023,ＦＣ町田ゼルビア,ミッチェル　デューク,FW,34,10,6,33.09,1.28,37.45,1.45,32.77,1.27
2023,ＦＣ町田ゼルビア,下田　北斗,MF,31,5,2,37.92,1.49,20.31,0.80,14.67,0.57
2023,ＦＣ町田ゼルビア,髙江　麗央,MF,18,0,1,23.79,1.61,,,,
2023,ＦＣ町田ゼルビア,奥山　政幸,DF,34,1,2,26.70,0.96,,,,
2023,ＦＣ町田ゼルビア,翁長　聖,MF,39,3,2,39.06,1.17,10.45,0.31,8.30,0.25
2023,ＦＣ町田ゼルビア,髙橋　大悟,MF,28,3,0,,,20.96,1.14,9.40,0.51
2023,ＦＣ町田ゼルビア,藤尾　翔太,FW,33,8,0,,,30.18,1.88,18.04,1.12
2023,ＦＣ町田ゼルビア,エリキ,FW,30,18,6,39.77,1.52,32.88,1.25,42.86,1.63
2023,ＦＣ町田ゼルビア,チャン　ミンギュ,DF,37,4,2,24.66,0.68,,,11.94,0.33
2023,ＦＣ町田ゼルビア,荒木　駿太,FW,42,6,3,30.11,1.36,27.40,1.24,18.89,0.86
2023,ＦＣ町田ゼルビア,平河　悠,FW,35,6,4,54.63,1.75,28.14,0.90,18.59,0.59
2023,ＦＣ町田ゼルビア,沼田　駿也,FW,33,2,0,,,12.88,1.25,,
2023,ＦＣ町田ゼルビア,宇野　禅斗,MF,18,3,0,,,17.85,1.44,11.09,0.90
2023,ＦＣ町田ゼルビア,バスケス　バイロン,MF,16,1,3,22.42,2.00,,,,
2023,横浜Ｆ・マリノス,松原　健,DF,26,2,1,36.20,1.51,13.45,0.56,9.94,0.41
2023,横浜Ｆ・マリノス,宮市　亮,FW,18,3,0,,,,,9.75,1.72
2023,横浜Ｆ・マリノス,喜田　拓也,MF,29,1,0,34.21,1.48,9.05,0.39,,
2023,横浜Ｆ・マリノス,畠中　槙之輔,DF,24,0,1,26.73,1.32,,,,
2023,横浜Ｆ・マリノス,エドゥアルド,DF,26,0,3,36.75,1.56,,,,
2023,横浜Ｆ・マリノス,西村　拓真,FW,32,3,3,26.67,1.29,15.33,0.74,7.90,0.38
2023,横浜Ｆ・マリノス,渡辺　皓太,MF,34,2,0,47.11,1.56,11.21,0.37,10.08,0.33
2023,横浜Ｆ・マリノス,アンデルソン　ロペス,FW,34,22,0,,,57.68,1.82,48.97,1.54
2023,横浜Ｆ・マリノス,永戸　勝也,DF,27,2,1,36.43,1.42,18.09,0.70,8.57,0.33
2023,横浜Ｆ・マリノス,マルコス　ジュニオール,FW,18,2,0,,,11.04,1.70,,
2023,横浜Ｆ・マリノス,藤田　譲瑠チマ,MF,17,2,0,,,,,6.63,0.96
2023,横浜Ｆ・マリノス,植中　朝日,FW,9,3,0,,,,,9.36,2.79
2023,横浜Ｆ・マリノス,エウベル,FW,33,9,11,68.83,2.58,47.95,1.80,26.85,1.01
2023,横浜Ｆ・マリノス,ヤン　マテウス,FW,32,6,11,59.66,3.00,36.83,1.85,17.37,0.87
2023,横浜Ｆ・マリノス,水沼　宏太,MF,33,1,7,26.03,2.46,11.11,1.05,,
