match_id,section,match_date,feature_source,feature_as_of,feature_snapshot_path,fallback_reason
2026_special-100yj1-6-kasm-vs-ka-f,6,2026-03-14,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-6-tk-v-vs-uraw,6,2026-03-14,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-6-ngsk-vs-fuku,6,2026-03-15,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-7-c-os-vs-okay,7,2026-03-18,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-7-chib-vs-FCtk,7,2026-03-18,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-7-fuku-vs-shim,7,2026-03-18,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-7-kobe-vs-g-os,7,2026-03-18,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-7-mito-vs-y-fm,7,2026-03-18,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-7-nago-vs-hiro,7,2026-03-18,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-7-ngsk-vs-kyot,7,2026-03-18,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-7-tk-v-vs-ka-f,7,2026-03-18,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-7-mcd-vs-kasm,7,2026-03-18,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-7-uraw-vs-kasw,7,2026-03-18,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-8-okay-vs-ngsk,8,2026-03-21,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-8-fuku-vs-g-os,8,2026-03-21,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-8-shim-vs-hiro,8,2026-03-22,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-8-kyot-vs-nago,8,2026-03-22,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-8-tk-v-vs-FCtk,8,2026-03-22,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-8-c-os-vs-kobe,8,2026-03-22,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-8-ka-f-vs-y-fm,8,2026-03-22,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-8-kasm-vs-chib,8,2026-03-22,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-8-kasw-vs-mito,8,2026-03-22,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-8-uraw-vs-mcd,8,2026-03-22,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-5-kobe-vs-hiro,5,2026-03-27,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-5-mcd-vs-ka-f,5,2026-03-28,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-11-kobe-vs-shim,11,2026-04-01,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-11-mcd-vs-FCtk,11,2026-04-01,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-9-chib-vs-tk-v,9,2026-04-04,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-9-mito-vs-kasm,9,2026-04-04,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-9-nago-vs-c-os,9,2026-04-04,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-9-g-os-vs-kyot,9,2026-04-04,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-9-ngsk-vs-shim,9,2026-04-05,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-9-hiro-vs-fuku,9,2026-04-05,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-9-kasw-vs-y-fm,9,2026-04-05,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-9-okay-vs-kobe,9,2026-04-05,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-9-FCtk-vs-mcd,9,2026-04-05,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-9-ka-f-vs-uraw,9,2026-04-05,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-10-chib-vs-mito,10,2026-04-11,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-10-fuku-vs-ngsk,10,2026-04-11,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-10-hiro-vs-shim,10,2026-04-11,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-10-mcd-vs-kasw,10,2026-04-11,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-10-kobe-vs-nago,10,2026-04-11,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-10-y-fm-vs-FCtk,10,2026-04-11,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-10-g-os-vs-c-os,10,2026-04-11,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-10-kyot-vs-okay,10,2026-04-11,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-10-uraw-vs-tk-v,10,2026-04-12,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-10-ka-f-vs-kasm,10,2026-04-12,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-11-y-fm-vs-ka-f,11,2026-04-18,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-11-kasm-vs-uraw,11,2026-04-18,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-11-hiro-vs-ngsk,11,2026-04-18,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-11-tk-v-vs-chib,11,2026-04-18,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-11-c-os-vs-kyot,11,2026-04-18,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-11-mito-vs-kasw,11,2026-04-19,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-11-g-os-vs-okay,11,2026-04-19,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-11-nago-vs-fuku,11,2026-04-19,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-17-g-os-vs-fuku,17,2026-04-22,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-12-FCtk-vs-mito,12,2026-04-24,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-12-kasw-vs-kasm,12,2026-04-24,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-12-shim-vs-nago,12,2026-04-25,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-12-uraw-vs-y-fm,12,2026-04-25,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-12-okay-vs-fuku,12,2026-04-25,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-12-ka-f-vs-chib,12,2026-04-25,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-12-hiro-vs-c-os,12,2026-04-25,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-12-ngsk-vs-g-os,12,2026-04-25,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-13-shim-vs-ngsk,13,2026-04-29,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-13-tk-v-vs-kasm,13,2026-04-29,fallback_rebuilt,,,no_point_in_time_snapshot
