column,total_rows,actual_count,fallback_count,actual_rate,fallback_rate,top_source,source_counts
Home_Prev_Total Interceptions,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Prev_Aerial Duels Won,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Prev_Yellow Cards,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Prev_Red Cards,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Prev_Average Possession,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Prev_Chances Created,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Prev_Duels Won,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Prev_Recoveries,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Prev_Expected Goals,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Prev_Expected Goals Against,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Prev_Avg Distance Covered,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Prev_Avg Sprints,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Prev_Distance Covered (In Possession),20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Prev_Sprints (In Possession),20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Prev_Distance Covered (Out of Possession),20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Prev_Sprints (Out of Possession),20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Total Shots,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Shots on Target,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Total Shots Against,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Total Goals,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Total Goals Against,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Clean Sheets,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Total Passes,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Total Dribbles,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Total Through Passes,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Total Crosses,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Total Clearances,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Total Tackles,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Total Blocks,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Total Fouls,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Total Interceptions,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Aerial Duels Won,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Yellow Cards,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Red Cards,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Average Possession,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Chances Created,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Duels Won,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Recoveries,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Expected Goals,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Expected Goals Against,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Avg Distance Covered,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Avg Sprints,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Distance Covered (In Possession),20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Sprints (In Possession),20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Distance Covered (Out of Possession),20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Sprints (Out of Possession),20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
is_Mirror_Game,20,0,20,0.0,1.0,fallback_league_median,"{""fallback_league_median"": 20}"
Home_DF_count,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_MF_count,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_FW_count,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_DF_count,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_MF_count,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_FW_count,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Midfield_Advantage,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Defense_Margin_Home,20,0,20,0.0,1.0,fallback_league_median,"{""fallback_league_median"": 20}"
Defense_Margin_Away,20,0,20,0.0,1.0,fallback_league_median,"{""fallback_league_median"": 20}"
Backline_Matchup,20,20,0,1.0,0.0,actual_2026_special_derived,"{""actual_2026_special_derived"": 20}"
Home_Prev_Goal PK,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Prev_Goal Direct Set Piece,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Prev_Goal Indirect Set Piece,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Prev_Goal Cross,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Prev_Goal Through Pass,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Prev_Goal from pass within 30m,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Prev_Goal from pass farther than 30m,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Prev_Goal from Dribble,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Prev_Goal from Ball Lost,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Prev_Goal Other,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Prev_Set-piece Index,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Prev_Left Attack Index,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Prev_Center Attack Index,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Prev_Right Attack Index,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Prev_Short Counter,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Prev_Long Counter,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Prev_Opponent Area Possession,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Prev_My Area Possession,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Goal PK,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Goal Direct Set Piece,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Goal Indirect Set Piece,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Goal Cross,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Goal Through Pass,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Goal from pass within 30m,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Goal from pass farther than 30m,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Goal from Dribble,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Goal from Ball Lost,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Goal Other,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Set-piece Index,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Left Attack Index,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Center Attack Index,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Right Attack Index,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Short Counter,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Long Counter,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_Opponent Area Possession,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Prev_My Area Possession,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Season_Progress,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Urgency_Score,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Season_Progress,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Urgency_Score,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
